Revenue(Million Dollars), R&D Expense(Million Dollars)
100.0,63.3654
105.0,62.3602
110.0,68.245
115.0,64.1243
120.0,67.6473
125.0,68.3581
130.0,73.0175
135.0,67.6538
140.0,74.366
145.0,72.015
150.0,75.029
155.0,73.2973
160.0,79.4573
165.0,75.2218
170.0,82.7623
175.0,79.1185
180.0,85.006
185.0,82.3106
190.0,86.1859
195.0,81.2439
200.0,90.1968
205.0,84.5878
210.0,89.598
215.0,88.1798
220.0,94.677
225.0,88.3002
230.0,96.7832
235.0,91.6611
240.0,98.5701
245.0,94.7602
250.0,98.7577
255.0,94.7139
260.0,103.2431
265.0,96.0438
270.0,102.4778
275.0,101.4121
280.0,109.3277
285.0,102.5418
290.0,108.2898
295.0,105.6606
300.0,113.6107
305.0,105.4356
310.0,111.4002
315.0,107.5697
320.0,118.8256
325.0,112.9599
330.0,119.2959
335.0,114.3578
340.0,124.1218
345.0,116.7362
350.0,121.0663
355.0,119.7523
360.0,124.4578
365.0,120.1076
370.0,128.3276
375.0,122.7276
380.0,129.311
385.0,122.2382
390.0,131.9957
395.0,125.4066
400.0,135.4056
405.0,126.5724
410.0,139.8197
415.0,134.4748
420.0,137.7474
425.0,135.5598
430.0,141.678
435.0,138.4814
440.0,142.612
445.0,136.3144
450.0,145.7817
455.0,141.6413
460.0,149.6783
465.0,139.9111
470.0,152.3357
475.0,142.7576
480.0,155.1978
485.0,144.5029
490.0,153.494
495.0,151.0038
500.0,158.162
505.0,155.8689
510.0,158.8887
515.0,156.8497
520.0,167.4523
525.0,158.8531
530.0,161.9162
535.0,160.3923
540.0,170.7187
545.0,157.3636
550.0,171.2619
555.0,161.732
560.0,176.8518
565.0,164.3247
570.0,172.5372
575.0,171.2337
580.0,174.4577
585.0,173.9216
590.0,180.6547
595.0,171.2439
